wall_time_s,elapsed_s,mode,thrust_raw,thrust_percent,roll_cmd_deg,pitch_cmd_deg,yawrate_cmd_deg_s,target_x,target_y,target_error_x_m,target_error_y_m,target_error_m,figure8_active,mocap_x,mocap_y,mocap_z,mocap_qx,mocap_qy,mocap_qz,mocap_qw,yaw_deg,mocap_age_s,mocap_frame_count,drift_x_m,drift_y_m,horizontal_drift_m,velocity_x_m_s,velocity_y_m_s,horizontal_speed_m_s,body_error_x_m,body_error_y_m,body_velocity_x_m_s,body_velocity_y_m_s,battery_v,estimate_z
1779209070.3060548,6.86853814125061,figure8,9500,14.4960708018616,0.011522314,-0.006025895,0.0,0.0021894816,0.010167809,0.0009882641,-0.0007543452,0.0012432628911729503,0,0.0031777457,0.009413464,0.03782021,0.011489168740808964,-0.012231203727424145,0.6444758176803589,0.7644405364990234,80.26464443056335,0.018843889236450195,115,0.0009882641,-0.0007543452,0.0012432628911729503,9.095558e-05,-6.881224e-05,0.00011405280248577134,0.00057636906,0.0011015905,-5.2440926e-05,-0.00010128175,4.059237480163574,112.60188293457031
1779209070.3679616,6.930444955825806,figure8,10000,15.259021896696423,0.011734905,-0.0047497647,0.0,0.0021894816,0.010167809,0.0010065641,-0.00071789976,0.0012363459732136833,0,0.0031960458,0.009449909,0.037815664,0.011600395664572716,-0.012348870746791363,0.6444475054740906,0.7644608020782471,80.2606281785606,0.008186578750610352,116,0.0010065641,-0.00071789976,0.0012363459732136833,0.00013932624,0.00010250691,0.0001729724429376726,0.0005372759,0.0011135017,0.00012459888,-0.000119977434,4.059237480163574,112.60188293457031
1779209070.4502225,7.0127058029174805,figure8,10000,15.259021896696423,0.012493014,-0.005951905,0.0,0.0021894816,0.010167809,0.0010335254,-0.000759162,0.001282381264734612,0,0.003223007,0.009408647,0.037824962,0.01182323507964611,-0.01273360662162304,0.6445586681365967,0.7643573880195618,80.27812537714665,0.007170677185058594,117,0.0010335254,-0.000759162,0.001282381264734612,0.00019465508,-7.689019e-05,0.00020929094613410885,0.0005737328,0.0011468795,-4.291541e-05,-0.00020484377,4.053958892822266,112.56385040283203
1779209070.5318203,7.094303607940674,figure8,10000,15.259021896696423,0.012008357,-0.006713629,0.0,0.0021894816,0.010167809,0.0010231687,-0.00078474823,0.0012894587548100466,0,0.0032126503,0.009383061,0.037805963,0.01153658702969551,-0.012342102825641632,0.6442882418632507,0.7645961046218872,80.23676143786213,0.017184019088745117,118,0.0010231687,-0.00078474823,0.0012894587548100466,9.2854825e-05,-0.00016105126,0.00018590192789714221,0.00059987657,0.0011414255,-0.00014297267,-0.00011882062,4.053958892822266,112.51052856445312
1779209070.5935624,7.15604567527771,figure8,10500,16.021972991531243,0.0113312425,-0.0054771174,0.0,0.0021894816,0.010167809,0.0010128664,-0.0007487908,0.0012595975528033327,0,0.003202348,0.009419018,0.037811067,0.011407182551920414,-0.011967903934419155,0.6444991827011108,0.7644262313842773,80.26757293204817,0.005820274353027344,119,0.0010128664,-0.0007487908,0.0012595975528033327,2.2721477e-05,3.4820514e-05,4.157804496075969e-05,0.0005667919,0.0011248703,3.816038e-05,-1.6508156e-05,4.053958892822266,112.51052856445312
1779209070.678629,7.241112232208252,figure8,10500,16.021972991531243,0.011098418,-0.007903874,0.0,0.0021894816,0.010167809,0.0009930739,-0.0008252235,0.0012911969725461167,0,0.0031825555,0.009342586,0.037841868,0.012394827790558338,-0.01406174711883068,0.6449984312057495,0.7639540433883667,80.34725590185649,0.015586137771606445,120,0.0009930739,-0.0008252235,0.0012911969725461167,-6.29487e-05,-0.00028013563,0.0002871210739891055,0.00064702507,0.0011173845,-0.0002867245,1.5085359e-05,4.053958892822266,112.4428939819336
1779209070.824811,7.387294292449951,figure8,11000,16.784924086366065,0.010694885,-0.0058322917,0.0,0.0021894816,0.010167809,0.0009855404,-0.0007436145,0.0012346062226827315,0,0.003175022,0.009424195,0.037821226,0.011625789105892181,-0.012792116962373257,0.6445155143737793,0.7643958330154419,80.27188402647016,0.01959967613220215,121,0.0009855404,-0.0007436145,0.0012346062226827315,-5.9961e-05,-2.3885921e-05,6.45434641854331e-05,0.00056639203,0.0010970199,-3.3674252e-05,5.5062723e-05,4.053958892822266,112.5039291381836
1779209070.8660104,7.4284937381744385,figure8,11000,16.784924086366065,0.011738119,-0.0065633724,0.0,0.0021894816,0.010167809,0.0010033064,-0.00076385215,0.001260989170738277,0,0.003192788,0.009403957,0.037829567,0.011705340817570686,-0.012568376027047634,0.6446061134338379,0.7643219232559204,80.28489134274476,0.01909637451171875,122,0.0010033064,-0.00076385215,0.001260989170738277,8.583118e-05,-0.00016230509,0.000183602653574069,0.0005835905,0.0011178174,-0.00014549351,-0.00011198915,4.053958892822266,112.5039291381836
1779209070.952159,7.514642238616943,figure8,11000,16.784924086366065,0.012159849,-0.006327766,0.0,0.0021894816,0.010167809,0.0010256432,-0.0007671453,0.0012808028033079511,0,0.0032151248,0.009400664,0.037802584,0.01148230116814375,-0.012138274498283863,0.6444948315620422,0.764426052570343,80.267281200023,0.011725187301635742,123,0.0010256432,-0.0007671453,0.0012808028033079511,0.00013173575,-0.00012417762,0.00018103697867634673,0.00058271654,0.0011405688,-0.000100120116,-0.0001508322,4.048680305480957,112.49735260009766
1779209071.0402262,7.602709531784058,figure8,11000,16.784924086366065,0.012364731,-0.008028276,0.0,0.0021894816,0.010167809,0.0010306267,-0.00084119104,0.0013303359343634154,0,0.0032201083,0.009326618,0.03783448,0.012332483194768429,-0.013621735386550426,0.645028829574585,0.7639372944831848,80.3506719175427,0.0024242401123046875,124,0.0010306267,-0.00084119104,0.0013303359343634154,0.00010756965,-0.00031506567,0.0003329228305316557,0.0006565388,0.001157044,-0.0002925776,-0.00015885831,4.053958892822266,112.5146255493164
1779209071.142492,7.704975366592407,figure8,11000,16.784924086366065,0.011984719,-0.0054140766,0.0,0.0021894816,0.010167809,0.0010389742,-0.000757643,0.0012858811159201168,0,0.0032284558,0.009410166,0.03780383,0.011456874199211597,-0.012160569429397583,0.6445463299751282,0.7643826603889465,80.2750660703846,0.009637117385864258,125,0.0010389742,-0.000757643,0.0012858811159201168,0.00010164442,4.3142893e-05,0.00011042145736499851,0.00057125394,0.0011520239,5.969254e-05,-9.289617e-05,4.048680305480957,112.46484375
1779209071.2441301,7.806613445281982,figure8,11000,16.784924086366065,0.010941721,-0.0056989132,0.0,0.0021894816,0.010167809,0.0010040151,-0.00075915735,0.001258716070380764,0,0.0031934967,0.009408652,0.03781436,0.011500412598252296,-0.012632930651307106,0.6445323824882507,0.7643861174583435,80.27407893039448,0.019950151443481445,126,0.0010040151,-0.00075915735,0.001258716070380764,-4.3688342e-05,2.5225494e-05,5.044795989790435e-05,0.0005786325,0.001117833,1.7482427e-05,4.7321893e-05,4.048680305480957,112.42498016357422
1779209071.3259666,7.8884499073028564,figure8,11000,16.784924086366065,0.011462102,-0.0057107913,0.0,0.0021894816,0.010167809,0.0010209163,-0.00076151174,0.0012736444569065128,0,0.003210398,0.0094062975,0.037799336,0.011214692145586014,-0.011483733542263508,0.644540548324585,0.7644016742706299,80.2727712262958,0.00999140739440918,127,0.0010209163,-0.00076151174,0.0012736444569065128,2.4653651e-05,9.963379e-06,2.6590815274078304e-05,0.0005780719,0.0011349022,1.3985565e-05,-2.2615823e-05,4.048680305480957,112.42306518554688
