wall_time_s,elapsed_s,mode,thrust_raw,thrust_percent,roll_cmd_deg,pitch_cmd_deg,yawrate_cmd_deg_s,target_x,target_y,target_error_x_m,target_error_y_m,target_error_m,xy_control_active,figure8_active,mocap_x,mocap_y,mocap_z,mocap_qx,mocap_qy,mocap_qz,mocap_qw,yaw_deg,mocap_age_s,mocap_frame_count,drift_x_m,drift_y_m,horizontal_drift_m,velocity_x_m_s,velocity_y_m_s,horizontal_speed_m_s,body_error_x_m,body_error_y_m,body_velocity_x_m_s,body_velocity_y_m_s,battery_v,estimate_z
1779210477.910403,6.192181348800659,hold-xy,7500,11.444266422522317,0.0,0.0,0.0,0.0061342753,0.0057141846,0.0007493878,-0.0006543766,0.0009948823074921998,0,0,0.006883663,0.005059808,0.03741294,-0.0076523832976818085,0.009258080273866653,-0.6291772127151489,-0.7771690487861633,77.98541320482565,0.01843857765197754,125,0.0007493878,-0.0006543766,0.0009948823074921998,9.109621e-05,3.4017867e-06,9.115970694308813e-05,0.0,0.0,0.0,0.0,4.022287368774414,115.49732971191406
1779210477.976303,6.258081436157227,hold-xy,7500,11.444266422522317,0.0,0.0,0.0,0.0061342753,0.0057141846,0.00072172843,-0.0006617508,0.0009791864105338503,0,0,0.006856004,0.005052434,0.037385445,-0.007566302083432674,0.008947746828198433,-0.6292642951011658,-0.7771030068397522,77.99776420457238,0.0014548301696777344,126,0.00072172843,-0.0006617508,0.0009791864105338503,-3.6346333e-05,-2.4309888e-05,4.37267256617581e-05,0.0,0.0,0.0,0.0,4.022287368774414,115.49732971191406
1779210478.062557,6.344335317611694,hold-xy,7500,11.444266422522317,0.0,0.0,0.0,0.0061342753,0.0057141846,0.00076801237,-0.0006565568,0.0010104008358583197,0,0,0.0069022877,0.005057628,0.037417945,-0.008206413127481937,0.009720006957650185,-0.6290398240089417,-0.7772690057754517,77.96575460061628,0.002924680709838867,127,0.00076801237,-0.0006565568,0.0010104008358583197,0.00013832876,1.3614917e-06,0.00013833546585255386,0.0,0.0,0.0,0.0,4.022287368774414,115.49653625488281
1779210478.1641548,6.445933103561401,hold-xy,7500,11.444266422522317,0.0,0.0,0.0,0.0061342753,0.0057141846,0.00069880113,-0.0006226548,0.0009359604691595636,0,0,0.0068330765,0.00509153,0.037406687,-0.007035219110548496,0.009151488542556763,-0.6292052268981934,-0.777153491973877,77.98958555754206,0.004145383834838867,128,0.00069880113,-0.0006226548,0.0009359604691595636,-0.00011002358,0.00010227699,0.00015021907826117542,0.0,0.0,0.0,0.0,4.022287368774414,115.49351501464844
1779210478.2663174,6.548095703125,hold-xy,8000,12.207217517357137,0.0,0.0,0.0,0.0061342753,0.0057141846,0.00060403626,-0.0005674921,0.0008287985712267605,0,0,0.0067383116,0.0051466925,0.037364315,-0.005645619239658117,0.009784633293747902,-0.6292316317558289,-0.7771357297897339,77.99509593767407,0.013170719146728516,129,0.00060403626,-0.0005674921,0.0008287985712267605,-0.0003822591,0.00024927582,0.00045635564393926083,0.0,0.0,0.0,0.0,4.022287368774414,115.52259826660156
1779210478.3479805,6.629758834838867,hold-xy,8000,12.207217517357137,0.0,0.0,0.0,0.0061342753,0.0057141846,0.00059991423,-0.000569677,0.0008273022318489675,0,0,0.0067341896,0.0051445076,0.037322223,-0.005397339817136526,0.009781590662896633,-0.6292279362678528,-0.7771405577659607,77.99463013503613,0.0020368099212646484,130,0.00059991423,-0.000569677,0.0008273022318489675,-0.00028090735,0.00016742965,0.00032701930693666386,0.0,0.0,0.0,0.0,4.022287368774414,115.52529907226562
1779210478.4297833,6.711561679840088,hold-xy,8500,12.970168612191959,0.0,0.0,0.0,0.0061342753,0.0057141846,0.0007201852,-0.00062504504,0.000953597423314612,0,0,0.0068544606,0.0050891396,0.037393566,-0.00720071280375123,0.00846957229077816,-0.6291263103485107,-0.7772236466407776,77.97677635641566,0.0018143653869628906,131,0.0007201852,-0.00062504504,0.000953597423314612,0.00024324507,-8.530287e-05,0.00025776877480525854,0.0,0.0,0.0,0.0,4.022287368774414,115.52507019042969
1779210478.5315611,6.813339471817017,hold-xy,8500,12.970168612191959,0.0,0.0,0.0,0.0061342753,0.0057141846,0.0007252339,-0.0006537591,0.0009764042205431544,0,0,0.0068595093,0.0050604255,0.03740327,-0.007706673815846443,0.009149977006018162,-0.6292744874954224,-0.7770910859107971,77.99955565202484,0.011729001998901367,132,0.0007252339,-0.0006537591,0.0009764042205431544,0.00018675922,-0.00015348435,0.00024173632768301185,0.0,0.0,0.0,0.0,4.0170087814331055,115.51951599121094
1779210478.6127527,6.894531011581421,hold-xy,9000,13.733119707026779,0.0,0.0,0.0,0.0061342753,0.0057141846,0.0007432215,-0.0006874236,0.001012388005966346,0,0,0.006877497,0.005026761,0.037391245,-0.00848934892565012,0.009654258377850056,-0.6292243599891663,-0.7771173715591431,77.99273855326574,0.0001971721649169922,133,0.0007432215,-0.0006874236,0.001012388005966346,0.00018892897,-0.00021635824,0.00028723691676111896,0.0,0.0,0.0,0.0,4.022287368774414,115.48726654052734
1779210478.6940353,6.975813627243042,hold-xy,9000,13.733119707026779,0.0,0.0,0.0,0.0061342753,0.0057141846,0.00076029263,-0.00066844886,0.001012358022565718,0,0,0.006894568,0.0050457357,0.037405428,-0.008448288775980473,0.009392883628606796,-0.6291671991348267,-0.7771673202514648,77.98386771778652,0.000225067138671875,134,0.00076029263,-0.00066844886,0.001012358022565718,0.00019527852,-8.139415e-05,0.0002115625451626065,0.0,0.0,0.0,0.0,4.0170087814331055,115.51590728759766
1779210478.7818077,7.063585996627808,hold-xy,9500,14.4960708018616,0.0,0.0,0.0,0.0061342753,0.0057141846,0.00073527545,-0.00067807874,0.0010002103541064,0,0,0.006869551,0.005036106,0.03742218,-0.008585928939282894,0.009631087072193623,-0.6291801333427429,-0.777152419090271,77.98613707533629,0.0004992485046386719,135,0.00073527545,-0.00067807874,0.0010002103541064,5.091996e-05,-8.999331e-05,0.00010340037619526379,0.0,0.0,0.0,0.0,4.0170087814331055,115.51590728759766
1779210478.8684351,7.1502134799957275,hold-xy,9500,14.4960708018616,0.0,0.0,0.0,0.0061342753,0.0057141846,0.00075440574,-0.0006818981,0.0010169134592918066,0,0,0.006888681,0.0050322865,0.03742996,-0.008708245120942593,0.009565520100295544,-0.6291473507881165,-0.7771784067153931,77.9811386547151,0.014777898788452148,136,0.00075440574,-0.0006818981,0.0010169134592918066,0.000114969225,-7.8832556e-05,0.000139400483228967,0.0,0.0,0.0,0.0,4.0170087814331055,115.52106475830078
