wall_time_s,elapsed_s,mode,thrust_raw,thrust_percent,roll_cmd_deg,pitch_cmd_deg,yawrate_cmd_deg_s,target_x,target_y,figure8_active,mocap_x,mocap_y,mocap_z,mocap_qx,mocap_qy,mocap_qz,mocap_qw,yaw_deg,mocap_age_s,mocap_frame_count,drift_x_m,drift_y_m,horizontal_drift_m,velocity_x_m_s,velocity_y_m_s,horizontal_speed_m_s,body_error_x_m,body_error_y_m,body_velocity_x_m_s,body_velocity_y_m_s,battery_v,estimate_z
1779208303.8228333,11.725656747817993,figure8,21000,32.043945983062486,-0.00017170243,-0.00080144603,0.0,0.017932285,0.00036355783,0,0.017891955,0.00028670393,0.037398,0.0065786633640527725,0.01434774324297905,-0.6586082577705383,-0.752320408821106,82.41079461203528,0.006521463394165039,185,-4.0329993e-05,-7.68539e-05,8.679303082405055e-05,-8.516283e-06,-7.7656405e-05,7.812198341158893e-05,8.150706e-05,-2.9826651e-05,-7.810091e-05,-1.8143701e-06,4.096187591552734,112.46989440917969
1779208303.9245603,11.827383756637573,figure8,21000,32.043945983062486,-0.0005373381,-4.753162e-05,0.0,0.017932285,0.00036355783,0,0.017877545,0.0003237836,0.03741062,0.0064299628138542175,0.015118013136088848,-0.6583970785140991,-0.7524915337562561,82.38112150541909,0.015590429306030273,186,-5.4739416e-05,-3.9774226e-05,6.766382176622335e-05,-5.2614952e-05,6.569381e-05,8.41665573675147e-05,4.668061e-05,-4.8982787e-05,5.8138008e-05,6.0860344e-05,4.096187591552734,112.46989440917969
1779208303.990202,11.893025398254395,figure8,21000,32.043945983062486,-0.00030228012,-0.0005947394,0.0,0.017932285,0.00036355783,0,0.017881975,0.0003012754,0.037402097,0.0067294626496732235,0.014749955385923386,-0.6584514379501343,-0.752448558807373,82.38822666043511,0.0061435699462890625,187,-5.0310045e-05,-6.228243e-05,8.006373525372045e-05,-1.9133866e-05,-4.394104e-05,4.792619312592367e-05,6.839769e-05,-4.1616797e-05,-4.608832e-05,1.3144832e-05,4.096187591552734,112.46989440917969
1779208304.073748,11.976571559906006,figure8,21000,32.043945983062486,-0.00019403535,0.0003737915,0.0,0.017932285,0.00036355783,0,0.017891709,0.00034214836,0.03742537,0.006230831146240234,0.01564885675907135,-0.6583952903747559,-0.7524838447570801,82.38261643644798,0.013964653015136719,188,-4.0575862e-05,-2.1409476e-05,4.587773031825888e-05,2.5170204e-05,0.00013116763,0.0001335607960582154,2.6599164e-05,-3.7379814e-05,0.00013334662,-7.5608823e-06,4.096187591552734,112.46989440917969
1779208304.1565664,12.05938982963562,figure8,21000,32.043945983062486,-0.00022973605,-0.0004989272,0.0,0.017932285,0.00036355783,0,0.01788589,0.0003083013,0.03742989,0.006168931256979704,0.015570289455354214,-0.6584178805351257,-0.7524662613868713,82.38577716926032,0.015520334243774414,189,-4.6394765e-05,-5.5256533e-05,7.215094241203538e-05,-3.8627113e-06,-3.3137047e-05,3.336142040339416e-05,6.091674e-05,-3.8664064e-05,-3.3356686e-05,-5.620868e-07,4.096187591552734,112.46989440917969
1779208304.2177398,12.120563268661499,figure8,21000,32.043945983062486,0.0009889218,0.00088370085,0.0,0.017932285,0.00036355783,0,0.01794684,0.00035967305,0.03735495,0.0057359798811376095,0.01786663383245468,-0.6582338213920593,-0.7525796294212341,82.36609686639704,0.00506138801574707,190,1.4554709e-05,-3.8847793e-06,1.5064231515635884e-05,0.00025255556,0.00019195153,0.00031722185526429674,1.9168594e-06,1.4941777e-05,0.0002238005,-0.00022481779,4.096187591552734,112.46989440917969
1779208304.3010943,12.203917741775513,figure8,21000,32.043945983062486,0.0005111463,0.00027565856,0.0,0.017932285,0.00036355783,0,0.017935492,0.00034573022,0.037419036,0.00490711722522974,0.019088834524154663,-0.6582605838775635,-0.7525321245193481,82.37492696498714,0.014087677001953125,191,3.207475e-06,-1.782761e-05,1.8113849340751265e-05,0.0001309897,7.8090656e-05,0.00015250067062125579,1.724437e-05,5.5446612e-06,9.478119e-05,-0.00011946959,4.096187591552734,112.46989440917969
1779208304.405355,12.308178424835205,figure8,21000,32.043945983062486,-0.00054248783,-0.0013602058,0.0,0.017932285,0.00036355783,0,0.017873198,0.00026734918,0.0374102,0.0063512795604765415,0.015226486138999462,-0.6585894227027893,-0.7523215413093567,82.41076041629694,0.015894651412963867,192,-5.908683e-05,-9.620865e-05,0.00011290419760116407,-9.071439e-05,-0.00017484813,0.00019697961708879178,0.00010316951,-4.586295e-05,-0.00018529719,6.682754e-05,4.096187591552734,112.46989440917969
1779208304.4866424,12.389465808868408,figure8,21000,32.043945983062486,0.0005393352,0.0007531375,0.0,0.017932285,0.00036355783,0,0.017938212,0.0003584493,0.037369385,0.005460013635456562,0.018468640744686127,-0.6582849025726318,-0.7525224685668945,82.37620866938511,0.0057125091552734375,193,5.926937e-06,-5.108537e-06,7.824687394201244e-06,0.00014973084,0.00017639474,0.00023137508173051087,4.2770657e-06,6.552285e-06,0.00019469998,-0.00012500538,4.096187591552734,112.46989440917969
1779208304.5889099,12.491733312606812,figure8,21000,32.043945983062486,-0.0006715092,-3.4913086e-05,0.0,0.017932285,0.00036355783,0,0.017879257,0.00033702608,0.0374184,0.006505128927528858,0.015025113709270954,-0.6583912372589111,-0.7524977326393127,82.37993301970639,0.016256332397460938,194,-5.3027645e-05,-2.653175e-05,5.929472938233197e-05,-8.801075e-05,5.340756e-05,0.0001029478467922807,3.3329106e-05,-4.904116e-05,4.1265386e-05,9.431557e-05,4.096187591552734,112.46989440917969
