wall_time_s,elapsed_s,mode,thrust_raw,thrust_percent,roll_cmd_deg,pitch_cmd_deg,yawrate_cmd_deg_s,mocap_x,mocap_y,mocap_z,mocap_qx,mocap_qy,mocap_qz,mocap_qw,mocap_age_s,mocap_frame_count,drift_x_m,drift_y_m,horizontal_drift_m,battery_v,estimate_z
1779198414.9902322,2.2424428462982178,guard-only,0,0.0,0.0,0.0,0.0,0.0027826326,0.00656551,0.037760437,9.58779564825818e-05,-0.01211582962423563,0.6625490188598633,0.7489205598831177,0.00742030143737793,90,-2.188608e-06,-4.655216e-06,5.144029544666777e-06,4.127859115600586,105.14053344726562
1779198415.0917463,2.34395694732666,guard-only,0,0.0,0.0,0.0,0.0,0.0027891416,0.00664696,0.037792224,0.00043800557614304125,-0.013286277651786804,0.6624422669410706,0.7489951252937317,0.016859054565429688,91,4.3204054e-06,7.6795e-05,7.691643100005687e-05,4.122580528259277,105.13878631591797
1779198415.1738224,2.4260330200195312,guard-only,0,0.0,0.0,0.0,0.0,0.002769187,0.006640588,0.037783522,0.00034457253059372306,-0.012559517286717892,0.6623988151550293,0.7490460872650146,0.007056474685668945,92,-1.5634112e-05,7.042289e-05,7.21374278389824e-05,4.122580528259277,105.17204284667969
1779198415.276021,2.528231620788574,guard-only,0,0.0,0.0,0.0,0.0,0.0027870229,0.006632629,0.03777692,0.00012169160618213937,-0.01198392454534769,0.6624689102172852,0.7489936351776123,0.017531394958496094,93,2.2016466e-06,6.2463805e-05,6.250259334828322e-05,4.122580528259277,105.18347930908203
1779198415.3598423,2.6120529174804688,guard-only,0,0.0,0.0,0.0,0.0,0.0028018672,0.006633826,0.037784036,0.0004485362733248621,-0.012358966283500195,0.6624123454093933,0.7490373849868774,0.006891012191772461,94,1.7045997e-05,6.366102e-05,6.590365656256577e-05,4.122580528259277,105.18641662597656
1779198415.4615965,2.7138071060180664,guard-only,0,0.0,0.0,0.0,0.0,0.002741905,0.0065927217,0.037730202,0.0010759866563603282,-0.015316174365580082,0.6624342799186707,0.7489627003669739,0.013199806213378906,95,-4.2916276e-05,2.2556633e-05,4.848307307311245e-05,4.122580528259277,105.21981048583984
1779198415.5432346,2.795445203781128,guard-only,0,0.0,0.0,0.0,0.0,0.0027983654,0.0065970346,0.037725773,0.0006944566266611218,-0.013994072563946247,0.6624638438224792,0.7489628791809082,0.0022521018981933594,96,1.3544224e-05,2.6869588e-05,3.0090210008972457e-05,4.122580528259277,105.17306518554688
1779198415.6445363,2.896746873855591,guard-only,0,0.0,0.0,0.0,0.0,0.0027872007,0.006574898,0.03773306,0.0007818076992407441,-0.014736187644302845,0.6624975800514221,0.7489186525344849,0.010360240936279297,97,2.3795292e-06,4.7329813e-06,5.29747774487603e-06,4.122580528259277,105.17147827148438
1779198415.707149,2.959359645843506,guard-only,0,0.0,0.0,0.0,0.0,0.0027796784,0.0065938714,0.037758376,0.0009526733192615211,-0.014364943839609623,0.6626046895980835,0.7488309741020203,0.0014772415161132812,98,-5.1427633e-06,2.370635e-05,2.4257763195401918e-05,4.122580528259277,105.17147827148438
1779198415.8151362,3.0673468112945557,guard-only,0,0.0,0.0,0.0,0.0,0.0027920166,0.0066099092,0.03773142,0.0007885190425440669,-0.01429414376616478,0.6626225113868713,0.748816728591919,0.015062093734741211,99,7.195398e-06,3.974419e-05,4.039027704719278e-05,4.122580528259277,105.1851577758789
