wall_time_s,elapsed_s,mode,thrust_raw,thrust_percent,roll_cmd_deg,pitch_cmd_deg,yawrate_cmd_deg_s,mocap_x,mocap_y,mocap_z,mocap_qx,mocap_qy,mocap_qz,mocap_qw,yaw_deg,mocap_age_s,mocap_frame_count,drift_x_m,drift_y_m,horizontal_drift_m,velocity_x_m_s,velocity_y_m_s,horizontal_speed_m_s,body_error_x_m,body_error_y_m,body_velocity_x_m_s,body_velocity_y_m_s,battery_v,estimate_z
1779201897.7726698,4.529618501663208,hold-xy,15000,22.888532845044633,0.001978496,0.0016782562,0.0,0.0067835227,-0.0013929233,0.037068903,0.010716291144490242,-0.016087569296360016,-0.653409481048584,-0.7567578554153442,81.62208632654621,0.010050773620605469,101,0.00024237297,-0.00026533008,0.0003593670952507084,0.0002504965,-0.00031098333,0.00039932332725034904,0.00022718447,0.00027844554,-0.0002711669,-0.00029313413,4.011730194091797,104.10903930664062
1779201897.8560433,4.61299204826355,hold-xy,16000,24.414435034714273,0.005022078,0.003638212,0.0,0.007016992,-0.0016013589,0.037297178,0.005976045969873667,-0.017424829304218292,-0.6534404158592224,-0.7567537426948547,81.63324241267682,0.011472940444946289,102,0.0004758425,-0.00047376566,0.0006714759927832633,0.0010300111,-0.0009807099,0.0014222218014434105,0.00039948395,0.0005397153,-0.00082039624,-0.0011617508,4.006451606750488,104.04415893554688
1779201897.9373639,4.694312572479248,hold-xy,16000,24.414435034714273,0.0031249411,0.002236506,0.0,0.0069257747,-0.001508534,0.03721153,0.00820539053529501,-0.018599679693579674,-0.6533593535423279,-0.7567750215530396,81.62442478816904,0.0014696121215820312,103,0.00038462505,-0.00038094074,0.000541343021473054,0.00042135725,-0.0003815659,0.0005684491691066423,0.00032085282,0.00043601115,-0.00031612086,-0.00047244265,3.995894432067871,103.96432495117188
1779201898.0393097,4.796258449554443,hold-xy,17000,25.940337224383917,0.0041612154,0.0026744916,0.0,0.00703083,-0.0015791487,0.037256874,0.005967256147414446,-0.016999073326587677,-0.6532018184661865,-0.7569695115089417,81.59559894740028,0.01170802116394043,104,0.0004896801,-0.00045155548,0.0006660998025192278,0.0006386136,-0.0004980961,0.0008098932093087626,0.0003751351,0.0005504204,-0.000399408,-0.0007045568,3.995894432067871,103.8753890991211
1779201898.1203887,4.877337455749512,hold-xy,18000,27.466239414053558,0.0012705375,0.0012783135,0.0,0.0068342183,-0.0014489023,0.03724936,0.008123806677758694,-0.015822883695364,-0.6533340811729431,-0.7568607926368713,81.61085447806882,0.0012660026550292969,105,0.0002930686,-0.00032130908,0.00043488932718773333,-0.00019745031,7.8272016e-05,0.00021239852350002516,0.00027511365,0.00033681036,4.8627375e-05,0.00020675713,3.985337257385254,103.71729278564453
1779201898.222582,4.9795308113098145,hold-xy,18000,27.466239414053558,0.0022900894,0.0021830718,0.0,0.0069002956,-0.0015358236,0.037257258,0.007075522094964981,-0.01653369516134262,-0.6532816290855408,-0.7569013833999634,81.6056621453634,0.010732173919677734,106,0.00035914592,-0.00040823035,0.0005437258406627914,7.556463e-05,-0.00022642573,0.00023870196488088614,0.0003514269,0.00041489393,-0.00021296866,-0.000107809916,3.9800586700439453,103.6050796508789
1779201898.304678,5.061626672744751,hold-xy,18000,27.466239414053558,0.0019774765,0.0020123343,0.0,0.0068805143,-0.0015292894,0.03719972,0.008210609667003155,-0.017786657437682152,-0.6532957553863525,-0.7568493485450745,81.61175786554868,0.007960796356201172,107,0.00033936463,-0.0004016962,0.0005258594847233834,-1.70303e-05,-0.00013540019,0.00013646699826515117,0.00034789243,0.00039433365,-0.0001364361,-2.9040657e-06,3.9800586700439453,103.61321258544922
1779201898.4059494,5.162898063659668,hold-xy,18000,27.466239414053558,0.0021974198,0.0023581036,0.0,0.0068942793,-0.0015690587,0.03724825,0.00810241512954235,-0.018418068066239357,-0.6533594131469727,-0.7567803859710693,81.62378676619953,0.016082763671875,108,0.00035312958,-0.00044146553,0.0005653249658870016,3.2410622e-05,-0.00022286254,0.0002252069278201546,0.0003853152,0.00041367204,-0.00021576392,-6.45298e-05,3.9800586700439453,103.61833953857422
1779201898.5075638,5.264512538909912,hold-xy,19000,28.9921416037232,0.0002628843,0.00063380954,0.0,0.006743988,-0.0013994453,0.037179668,0.010832790285348892,-0.017133120447397232,-0.6536227464675903,-0.7565490007400513,81.65784872029887,0.016538619995117188,109,0.00020283833,-0.00027185213,0.0003391857392813492,-0.00042302225,0.00034700843,0.0005471404592963211,0.00023954714,0.0002401336,0.00028196306,0.0004688918,3.9800586700439453,103.53785705566406
1779201898.590546,5.347494602203369,hold-xy,19000,28.9921416037232,0.0044850823,0.0028114128,0.0,0.0070366133,-0.0016074991,0.037224077,0.006438902113586664,-0.01761348359286785,-0.6532392501831055,-0.756919264793396,81.6032823436969,0.017529010772705078,110,0.0004954636,-0.00047990587,0.0006897780988634275,0.0007745735,-0.00051834364,0.00093201085597327,0.00040241086,0.00056023145,-0.00039967924,-0.00084196246,3.969501495361328,103.48173522949219
