wall_time_s,elapsed_s,phase_index,phase_name,phase_elapsed_s,roll_norm,pitch_norm,yaw_norm,thrust_norm,roll_deg,pitch_deg,yawrate_deg_s,thrust_raw,thrust_axis_seen,button_5,button_9,event_count,last_event_age_s,mocap_x,mocap_y,mocap_z,height_above_floor,mocap_qx,mocap_qy,mocap_qz,mocap_qw,mocap_age_s,mocap_frame_count,mocap_vx_m_s,mocap_vy_m_s,mocap_vz_m_s,horizontal_distance_from_start_m
1779126774.0533915,7.432632923126221,-1,preflight_wait,7.001100301742554,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,7.424359321594238,0.005263961,0.008544139,0.036763556,-0.00023644418,-0.01133170910179615,0.005130251869559288,0.5892708897590637,0.8078398108482361,0.13329076766967773,82,0.00018046166,-0.00022443243,0.00038007385,1.678513e-05
1779126774.0734048,7.452646255493164,-1,preflight_wait,7.021122694015503,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,7.4443769454956055,0.005263961,0.008544139,0.036763556,-0.00023644418,-0.01133170910179615,0.005130251869559288,0.5892708897590637,0.8078398108482361,0.15330934524536133,82,0.00018046166,-0.00022443243,0.00038007385,1.678513e-05
1779126774.0933878,7.4726293087005615,-1,preflight_wait,7.041102170944214,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,7.464354515075684,0.005248064,0.0085074045,0.03678519,-0.00021481141,-0.01076147984713316,0.0037471135146915913,0.5894938111305237,0.8076925873756409,0.0006034374237060547,83,-9.205751e-05,-0.00021272626,0.00012527459,2.8622117e-05
1779126774.1134655,7.492707014083862,-1,preflight_wait,7.061180353164673,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,7.484432935714722,0.005215939,0.008496427,0.03677433,-0.00022567064,-0.010357226245105267,0.0017752215499058366,0.5896970629692078,0.8075562715530396,0.010468482971191406,84,-0.0031457564,-0.0010749415,-0.0010633594,5.1746767e-05
1779126774.1334605,7.512701988220215,-1,preflight_wait,7.081183910369873,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,7.504427671432495,0.005215939,0.008496427,0.03677433,-0.00022567064,-0.010357226245105267,0.0017752215499058366,0.5896970629692078,0.8075562715530396,0.03046417236328125,84,-0.0031457564,-0.0010749415,-0.0010633594,5.1746767e-05
1779126774.1533918,7.532633304595947,-1,preflight_wait,7.101101875305176,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,7.524360179901123,0.005215939,0.008496427,0.03677433,-0.00022567064,-0.010357226245105267,0.0017752215499058366,0.5896970629692078,0.8075562715530396,0.05039691925048828,84,-0.0031457564,-0.0010749415,-0.0010633594,5.1746767e-05
1779126774.1733925,7.552634000778198,-1,preflight_wait,7.121107339859009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,7.544363021850586,0.005215939,0.008496427,0.03677433,-0.00022567064,-0.010357226245105267,0.0017752215499058366,0.5896970629692078,0.8075562715530396,0.07040071487426758,84,-0.0031457564,-0.0010749415,-0.0010633594,5.1746767e-05
1779126774.193391,7.572632551193237,-1,preflight_wait,7.1411051750183105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,7.564361095428467,0.005215939,0.008496427,0.03677433,-0.00022567064,-0.010357226245105267,0.0017752215499058366,0.5896970629692078,0.8075562715530396,0.09039807319641113,84,-0.0031457564,-0.0010749415,-0.0010633594,5.1746767e-05
1779126774.2134066,7.592648029327393,-1,preflight_wait,7.161133766174316,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,7.58437705039978,0.0052405214,0.008559046,0.03674053,-0.0002594702,-0.011069129221141338,0.0034986629616469145,0.5891828536987305,0.8079162836074829,0.01936483383178711,85,0.00026998523,0.00068774377,-0.0003712182,2.4654011e-05
1779126774.233391,7.612632513046265,-1,preflight_wait,7.181107997894287,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,7.604361534118652,0.0052405214,0.008559046,0.03674053,-0.0002594702,-0.011069129221141338,0.0034986629616469145,0.5891828536987305,0.8079162836074829,0.039348602294921875,85,0.00026998523,0.00068774377,-0.0003712182,2.4654011e-05
1779126774.2533944,7.632635831832886,-1,preflight_wait,7.20110821723938,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,7.6243650913238525,0.0052405214,0.008559046,0.03674053,-0.0002594702,-0.011069129221141338,0.0034986629616469145,0.5891828536987305,0.8079162836074829,0.05935215950012207,85,0.00026998523,0.00068774377,-0.0003712182,2.4654011e-05
1779126774.2733877,7.652629137039185,-1,preflight_wait,7.221097230911255,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,7.64435601234436,0.0052405214,0.008559046,0.03674053,-0.0002594702,-0.011069129221141338,0.0034986629616469145,0.5891828536987305,0.8079162836074829,0.07934188842773438,85,0.00026998523,0.00068774377,-0.0003712182,2.4654011e-05
1779126774.2933936,7.672635078430176,-1,preflight_wait,7.241121292114258,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,7.66436505317688,0.0052154306,0.008548157,0.03674071,-0.00025929138,-0.01100083626806736,0.0032096290960907936,0.5894749760627747,0.8077053427696228,0.01820683479309082,86,-0.0003092088,-0.00013419209,2.2036334e-06,3.596657e-05
1779126774.3134067,7.69264817237854,-1,preflight_wait,7.261125326156616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,7.6843788623809814,0.0052154306,0.008548157,0.03674071,-0.00025929138,-0.01100083626806736,0.0032096290960907936,0.5894749760627747,0.8077053427696228,0.03822135925292969,86,-0.0003092088,-0.00013419209,2.2036334e-06,3.596657e-05
1779126774.3333962,7.712637662887573,-1,preflight_wait,7.281115293502808,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,7.704369306564331,0.0052154306,0.008548157,0.03674071,-0.00025929138,-0.01100083626806736,0.0032096290960907936,0.5894749760627747,0.8077053427696228,0.0582120418548584,86,-0.0003092088,-0.00013419209,2.2036334e-06,3.596657e-05
1779126774.3533916,7.732633113861084,-1,preflight_wait,7.301100969314575,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,7.724359750747681,0.0052154306,0.008548157,0.03674071,-0.00025929138,-0.01100083626806736,0.0032096290960907936,0.5894749760627747,0.8077053427696228,0.0782005786895752,86,-0.0003092088,-0.00013419209,2.2036334e-06,3.596657e-05
1779126774.373391,7.75263237953186,-1,preflight_wait,7.321113348007202,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,7.744358539581299,0.005224555,0.008544625,0.0367587,-0.00024130195,-0.010661141946911812,0.0027039097622036934,0.589287519454956,0.8078485727310181,0.01722884178161621,87,0.00011268505,-4.3627067e-05,0.00022217253,2.6186515e-05
1779126774.3933923,7.772633790969849,-1,preflight_wait,7.3411030769348145,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,7.764359951019287,0.005224555,0.008544625,0.0367587,-0.00024130195,-0.010661141946911812,0.0027039097622036934,0.589287519454956,0.8078485727310181,0.0372312068939209,87,0.00011268505,-4.3627067e-05,0.00022217253,2.6186515e-05
1779126774.4134135,7.792654991149902,-1,preflight_wait,7.3611297607421875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,7.784384250640869,0.005224555,0.008544625,0.0367587,-0.00024130195,-0.010661141946911812,0.0027039097622036934,0.589287519454956,0.8078485727310181,0.05725574493408203,87,0.00011268505,-4.3627067e-05,0.00022217253,2.6186515e-05
1779126774.4333987,7.812640190124512,-1,preflight_wait,7.381128311157227,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,7.804368495941162,0.0052465172,0.008552605,0.036722414,-0.00027758628,-0.0112147256731987,0.0035470181610435247,0.5892181396484375,0.807888388633728,0.0063381195068359375,88,0.00030975734,0.00011255664,-0.00051175244,1.68329e-05
1779126774.4533985,7.832639932632446,-1,preflight_wait,7.401118993759155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,7.824368715286255,0.0052465172,0.008552605,0.036722414,-0.00027758628,-0.0112147256731987,0.0035470181610435247,0.5892181396484375,0.807888388633728,0.026338815689086914,88,0.00030975734,0.00011255664,-0.00051175244,1.68329e-05
1779126774.4733949,7.852636337280273,-1,preflight_wait,7.421109199523926,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,7.844365119934082,0.0052465172,0.008552605,0.036722414,-0.00027758628,-0.0112147256731987,0.0035470181610435247,0.5892181396484375,0.807888388633728,0.046334028244018555,88,0.00030975734,0.00011255664,-0.00051175244,1.68329e-05
1779126774.493397,7.872638463973999,-1,preflight_wait,7.441114902496338,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,7.864366292953491,0.0052465172,0.008552605,0.036722414,-0.00027758628,-0.0112147256731987,0.0035470181610435247,0.5892181396484375,0.807888388633728,0.06633710861206055,88,0.00030975734,0.00011255664,-0.00051175244,1.68329e-05
1779126774.513403,7.89264440536499,-1,preflight_wait,7.46112847328186,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,7.884372234344482,0.0052599004,0.008556925,0.036752164,-0.0002478361,-0.011422174982726574,0.005076969042420387,0.5891958475112915,0.8078935146331787,0.005295753479003906,89,0.00016513003,5.3296662e-05,0.00036707817,2.3464792e-05
1779126774.5333922,7.912633657455444,-1,preflight_wait,7.4811036586761475,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,7.904360055923462,0.0052599004,0.008556925,0.036752164,-0.0002478361,-0.011422174982726574,0.005076969042420387,0.5891958475112915,0.8078935146331787,0.025283098220825195,89,0.00016513003,5.3296662e-05,0.00036707817,2.3464792e-05
1779126774.553395,7.932636499404907,-1,preflight_wait,7.501110792160034,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,7.924365282058716,0.0052599004,0.008556925,0.036752164,-0.0002478361,-0.011422174982726574,0.005076969042420387,0.5891958475112915,0.8078935146331787,0.04528975486755371,89,0.00016513003,5.3296662e-05,0.00036707817,2.3464792e-05
1779126774.573393,7.952634572982788,-1,preflight_wait,7.521110773086548,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,7.944364309310913,0.0052599004,0.008556925,0.036752164,-0.0002478361,-0.011422174982726574,0.005076969042420387,0.5891958475112915,0.8078935146331787,0.06528925895690918,89,0.00016513003,5.3296662e-05,0.00036707817,2.3464792e-05
1779126774.5933914,7.972632884979248,-1,preflight_wait,7.54110312461853,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,7.964360475540161,0.0052599004,0.008556925,0.036752164,-0.0002478361,-0.011422174982726574,0.005076969042420387,0.5891958475112915,0.8078935146331787,0.08528375625610352,89,0.00016513003,5.3296662e-05,0.00036707817,2.3464792e-05
1779126774.6133993,7.992640733718872,-1,preflight_wait,7.561133623123169,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,7.984372615814209,0.0052265115,0.008532788,0.03674082,-0.00025917962,-0.011401253752410412,0.004703388549387455,0.5893012881278992,0.8078191876411438,0.012632131576538086,90,-0.00036031887,-0.00026047765,-0.00012241454,2.2994564e-05
1779126774.633558,8.012799501419067,-1,preflight_wait,7.581272125244141,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,8.004526138305664,0.0052265115,0.008532788,0.03674082,-0.00025917962,-0.011401253752410412,0.004703388549387455,0.5893012881278992,0.8078191876411438,0.032784223556518555,90,-0.00036031887,-0.00026047765,-0.00012241454,2.2994564e-05
1779126774.6534061,8.032647609710693,-1,preflight_wait,7.601140975952148,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,8.024378776550293,0.0052265115,0.008532788,0.03674082,-0.00025917962,-0.011401253752410412,0.004703388549387455,0.5893012881278992,0.8078191876411438,0.05264115333557129,90,-0.00036031887,-0.00026047765,-0.00012241454,2.2994564e-05
1779126774.6733923,8.05263376235962,-1,preflight_wait,7.621101140975952,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,8.044359683990479,0.0052265115,0.008532788,0.03674082,-0.00025917962,-0.011401253752410412,0.004703388549387455,0.5893012881278992,0.8078191876411438,0.0726172924041748,90,-0.00036031887,-0.00026047765,-0.00012241454,2.2994564e-05
1779126774.693405,8.072646379470825,-1,preflight_wait,7.641141176223755,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,8.06437873840332,0.005216973,0.008539293,0.03675494,-0.00024506077,-0.01091070007532835,0.0030981802847236395,0.5893807411193848,0.8077757954597473,0.0014505386352539062,91,-0.000104603794,7.133934e-05,0.0001548324,3.247489e-05
1779126774.7133975,8.092638969421387,-1,preflight_wait,7.661101341247559,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,8.084365129470825,0.005216973,0.008539293,0.03675494,-0.00024506077,-0.01091070007532835,0.0030981802847236395,0.5893807411193848,0.8077757954597473,0.021433591842651367,91,-0.000104603794,7.133934e-05,0.0001548324,3.247489e-05
1779126774.7334032,8.112644672393799,-1,preflight_wait,7.681110620498657,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,8.104371309280396,0.005216973,0.008539293,0.03675494,-0.00024506077,-0.01091070007532835,0.0030981802847236395,0.5893807411193848,0.8077757954597473,0.04144120216369629,91,-0.000104603794,7.133934e-05,0.0001548324,3.247489e-05
1779126774.7534366,8.132678031921387,-1,preflight_wait,7.701151371002197,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,8.124406337738037,0.005216973,0.008539293,0.03675494,-0.00024506077,-0.01091070007532835,0.0030981802847236395,0.5893807411193848,0.8077757954597473,0.0614776611328125,91,-0.000104603794,7.133934e-05,0.0001548324,3.247489e-05
1779126774.7733855,8.152626991271973,-1,preflight_wait,7.721092939376831,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,8.144354104995728,0.005216973,0.008539293,0.03675494,-0.00024506077,-0.01091070007532835,0.0030981802847236395,0.5893807411193848,0.8077757954597473,0.08142423629760742,91,-0.000104603794,7.133934e-05,0.0001548324,3.247489e-05
1779126774.7933862,8.172627687454224,-1,preflight_wait,7.741099834442139,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,8.164354801177979,0.005234072,0.008560937,0.036722906,-0.00027709454,-0.011137104593217373,0.0035337922163307667,0.5891913175582886,0.8079090714454651,0.009971380233764648,92,0.00018697305,0.0002366696,-0.00035027915,2.9208057e-05
1779126774.8133984,8.192639827728271,-1,preflight_wait,7.761118650436401,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,8.184370517730713,0.005234072,0.008560937,0.036722906,-0.00027709454,-0.011137104593217373,0.0035337922163307667,0.5891913175582886,0.8079090714454651,0.029989242553710938,92,0.00018697305,0.0002366696,-0.00035027915,2.9208057e-05
1779126774.8333957,8.212637186050415,-1,preflight_wait,7.7811150550842285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,8.20436143875122,0.005234072,0.008560937,0.036722906,-0.00027709454,-0.011137104593217373,0.0035337922163307667,0.5891913175582886,0.8079090714454651,0.049978017807006836,92,0.00018697305,0.0002366696,-0.00035027915,2.9208057e-05
